InvoiceNo,CustomerID,InvoiceDate,Country,StockCode,Description,Quantity,UnitPrice,Revenue,Date,DateID
536377,17850.0,2010-12-01 09:34:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-01 09:34:00,11
536378,14688.0,2010-12-01 09:37:00,United Kingdom,22386,JUMBO BAG PINK POLKADOT,10,1.95,19.5,2010-12-01 09:37:00,12
536380,17809.0,2010-12-01 09:41:00,United Kingdom,22961,JAM MAKING SET PRINTED,24,1.45,34.8,2010-12-01 09:41:00,13
536381,15311.0,2010-12-01 09:41:00,United Kingdom,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,4.25,97.75,2010-12-01 09:41:00,13
536382,16098.0,2010-12-01 09:45:00,United Kingdom,10002,INFLATABLE POLITICAL GLOBE ,12,0.85,10.2,2010-12-01 09:45:00,14
536384,18074.0,2010-12-01 09:53:00,United Kingdom,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,6.45,19.35,2010-12-01 09:53:00,15
536385,17420.0,2010-12-01 09:56:00,United Kingdom,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,16.95,16.95,2010-12-01 09:56:00,16
536386,16029.0,2010-12-01 09:57:00,United Kingdom,84880,WHITE WIRE EGG HOLDER,36,4.95,178.20000000000002,2010-12-01 09:57:00,17
536387,16029.0,2010-12-01 09:58:00,United Kingdom,79321,CHILLI LIGHTS,192,3.82,733.4399999999999,2010-12-01 09:58:00,18
536388,16250.0,2010-12-01 09:59:00,United Kingdom,21754,HOME BUILDING BLOCK WORD,3,5.95,17.85,2010-12-01 09:59:00,19
536389,12431.0,2010-12-01 10:03:00,Australia,22941,CHRISTMAS LIGHTS 10 REINDEER,6,8.5,51.0,2010-12-01 10:03:00,20
536390,17511.0,2010-12-01 10:19:00,United Kingdom,22941,CHRISTMAS LIGHTS 10 REINDEER,2,8.5,17.0,2010-12-01 10:19:00,21
536392,13705.0,2010-12-01 10:29:00,United Kingdom,22150,3 STRIPEY MICE FELTCRAFT,6,1.95,11.7,2010-12-01 10:29:00,22
536393,13747.0,2010-12-01 10:37:00,United Kingdom,22180,RETROSPOT LAMP,8,9.95,79.6,2010-12-01 10:37:00,23
536394,13408.0,2010-12-01 10:39:00,United Kingdom,21506,"FANCY FONT BIRTHDAY CARD, ",24,0.42,10.08,2010-12-01 10:39:00,24
536395,13767.0,2010-12-01 10:47:00,United Kingdom,22188,BLACK HEART CARD HOLDER,8,3.95,31.6,2010-12-01 10:47:00,25
536396,17850.0,2010-12-01 10:51:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-01 10:51:00,26
536397,17924.0,2010-12-01 10:51:00,United Kingdom,35004B,SET OF 3 BLACK FLYING DUCKS,12,4.65,55.800000000000004,2010-12-01 10:51:00,26
536398,13448.0,2010-12-01 10:52:00,United Kingdom,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,0.29,6.959999999999999,2010-12-01 10:52:00,27
536399,17850.0,2010-12-01 10:52:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-01 10:52:00,27
536400,13448.0,2010-12-01 10:53:00,United Kingdom,22969,HOMEMADE JAM SCENTED CANDLES,12,1.45,17.4,2010-12-01 10:53:00,28
536401,15862.0,2010-12-01 11:21:00,United Kingdom,22110,BIRD HOUSE HOT WATER BOTTLE,1,2.55,2.55,2010-12-01 11:21:00,29
536402,15513.0,2010-12-01 11:22:00,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,2.55,102.0,2010-12-01 11:22:00,30
536403,12791.0,2010-12-01 11:27:00,Netherlands,22867,HAND WARMER BIRD DESIGN,96,2.1,201.60000000000002,2010-12-01 11:27:00,31
536404,16218.0,2010-12-01 11:29:00,United Kingdom,22297,HEART IVORY TRELLIS SMALL,24,1.25,30.0,2010-12-01 11:29:00,32
536405,14045.0,2010-12-01 11:32:00,United Kingdom,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,2.55,326.4,2010-12-01 11:32:00,33
536406,17850.0,2010-12-01 11:33:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2.55,20.4,2010-12-01 11:33:00,34
536407,17850.0,2010-12-01 11:34:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-01 11:34:00,35
536408,14307.0,2010-12-01 11:41:00,United Kingdom,22537,MAGIC DRAWING SLATE DINOSAUR,24,0.42,10.08,2010-12-01 11:41:00,36
536409,17908.0,2010-12-01 11:45:00,United Kingdom,90199C,5 STRAND GLASS NECKLACE CRYSTAL,3,6.35,19.049999999999997,2010-12-01 11:45:00,37
536412,17920.0,2010-12-01 11:49:00,United Kingdom,20728,LUNCH BAG CARS BLUE,3,1.65,4.949999999999999,2010-12-01 11:49:00,38
536415,12838.0,2010-12-01 11:57:00,United Kingdom,22952,60 CAKE CASES VINTAGE CHRISTMAS,10,0.55,5.5,2010-12-01 11:57:00,39
536416,13255.0,2010-12-01 11:58:00,United Kingdom,21494,ROTATING LEAVES T-LIGHT HOLDER,12,1.25,15.0,2010-12-01 11:58:00,40
536420,16583.0,2010-12-01 12:03:00,United Kingdom,21889,WOODEN BOX OF DOMINOES,12,1.25,15.0,2010-12-01 12:03:00,41
536423,18085.0,2010-12-01 12:08:00,United Kingdom,22619,SET OF 6 SOLDIER SKITTLES,4,3.75,15.0,2010-12-01 12:08:00,42
536425,13758.0,2010-12-01 12:08:00,United Kingdom,22837,HOT WATER BOTTLE BABUSHKA ,8,4.25,34.0,2010-12-01 12:08:00,42
536437,13694.0,2010-12-01 12:12:00,United Kingdom,21154,RED RETROSPOT OVEN GLOVE ,200,1.06,212.0,2010-12-01 12:12:00,43
536446,15983.0,2010-12-01 12:15:00,United Kingdom,85172,HYACINTH BULB T-LIGHT CANDLES,32,0.42,13.44,2010-12-01 12:15:00,44
536460,14849.0,2010-12-01 12:22:00,United Kingdom,22670,FRENCH WC SIGN BLUE METAL,12,1.25,15.0,2010-12-01 12:22:00,45
536463,14849.0,2010-12-01 12:22:00,United Kingdom,82552,WASHROOM METAL SIGN,12,1.45,17.4,2010-12-01 12:22:00,45
536464,17968.0,2010-12-01 12:23:00,United Kingdom,90200B,BLACK SWEETHEART BRACELET,2,4.25,8.5,2010-12-01 12:23:00,46
536466,14849.0,2010-12-01 12:23:00,United Kingdom,22960,JAM MAKING SET WITH JARS,6,4.25,25.5,2010-12-01 12:23:00,46
536477,16210.0,2010-12-01 12:27:00,United Kingdom,21314,SMALL GLASS HEART TRINKET POT,48,2.1,100.80000000000001,2010-12-01 12:27:00,47
536488,17897.0,2010-12-01 12:31:00,United Kingdom,22738,RIBBON REEL SNOWY VILLAGE,5,1.65,8.25,2010-12-01 12:31:00,48
536500,17377.0,2010-12-01 12:35:00,United Kingdom,21622,VINTAGE UNION JACK CUSHION COVER,10,4.95,49.5,2010-12-01 12:35:00,49
536502,16552.0,2010-12-01 12:36:00,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,16,1.69,27.04,2010-12-01 12:36:00,50
536508,17181.0,2010-12-01 12:38:00,United Kingdom,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,72,1.06,76.32000000000001,2010-12-01 12:38:00,51
536514,17951.0,2010-12-01 12:40:00,United Kingdom,22865,HAND WARMER OWL DESIGN,36,1.85,66.60000000000001,2010-12-01 12:40:00,52
536520,14729.0,2010-12-01 12:43:00,United Kingdom,21794,CLASSIC FRENCH STYLE BASKET NATURAL,1,6.75,6.75,2010-12-01 12:43:00,53
536521,12748.0,2010-12-01 12:48:00,United Kingdom,22854,CREAM SWEETHEART EGG HOLDER,1,4.95,4.95,2010-12-01 12:48:00,54
536522,15012.0,2010-12-01 12:49:00,United Kingdom,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1,3.75,3.75,2010-12-01 12:49:00,55
536523,12868.0,2010-12-01 12:50:00,United Kingdom,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6,4.95,29.700000000000003,2010-12-01 12:50:00,56
536524,17572.0,2010-12-01 12:51:00,United Kingdom,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,2.95,17.700000000000003,2010-12-01 12:51:00,57
536525,14078.0,2010-12-01 12:54:00,United Kingdom,21826,EIGHT PIECE DINOSAUR SET,2,1.25,2.5,2010-12-01 12:54:00,58
536526,14001.0,2010-12-01 12:58:00,United Kingdom,21135,VICTORIAN  METAL POSTCARD SPRING,16,1.69,27.04,2010-12-01 12:58:00,59
536527,12662.0,2010-12-01 13:04:00,Germany,22809,SET OF 6 T-LIGHTS SANTA,6,2.95,17.700000000000003,2010-12-01 13:04:00,60
536528,15525.0,2010-12-01 13:17:00,United Kingdom,22815,CARD PSYCHEDELIC APPLES,12,0.42,5.04,2010-12-01 13:17:00,61
536529,14237.0,2010-12-01 13:20:00,United Kingdom,22222,CAKE PLATE LOVEBIRD WHITE,3,4.95,14.850000000000001,2010-12-01 13:20:00,62
536530,17905.0,2010-12-01 13:21:00,United Kingdom,22360,GLASS JAR ENGLISH CONFECTIONERY,2,2.95,5.9,2010-12-01 13:21:00,63
536531,15485.0,2010-12-01 13:23:00,United Kingdom,21519,GIN & TONIC DIET GREETING CARD ,24,0.42,10.08,2010-12-01 13:23:00,64
536532,12433.0,2010-12-01 13:24:00,Norway,84692,BOX OF 24 COCKTAIL PARASOLS,50,0.42,21.0,2010-12-01 13:24:00,65
536533,16955.0,2010-12-01 13:31:00,United Kingdom,20754,RETROSPOT RED WASHING UP GLOVES,6,2.1,12.600000000000001,2010-12-01 13:31:00,66
536534,15350.0,2010-12-01 13:33:00,United Kingdom,22866,HAND WARMER SCOTTY DOG DESIGN,12,1.85,22.200000000000003,2010-12-01 13:33:00,67
536535,15605.0,2010-12-01 13:38:00,United Kingdom,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,4.95,14.850000000000001,2010-12-01 13:38:00,68
536536,18144.0,2010-12-01 13:45:00,United Kingdom,21485,RETROSPOT HEART HOT WATER BOTTLE,3,4.25,12.75,2010-12-01 13:45:00,69
536537,15922.0,2010-12-01 13:51:00,United Kingdom,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,36,2.1,75.60000000000001,2010-12-01 13:51:00,70
536538,14594.0,2010-12-01 13:54:00,United Kingdom,21466,RED FLOWER CROCHET FOOD COVER,1,3.75,3.75,2010-12-01 13:54:00,71
536539,15165.0,2010-12-01 14:03:00,United Kingdom,22969,HOMEMADE JAM SCENTED CANDLES,12,1.45,17.4,2010-12-01 14:03:00,72
536540,14911.0,2010-12-01 14:05:00,EIRE,22968,ROSE COTTAGE KEEPSAKE BOX ,4,8.5,34.0,2010-12-01 14:05:00,73
536541,14911.0,2010-12-01 14:05:00,EIRE,21915,RED  HARMONICA IN BOX ,12,1.25,15.0,2010-12-01 14:05:00,73
536542,16456.0,2010-12-01 14:11:00,United Kingdom,22382,LUNCH BAG SPACEBOY DESIGN ,10,1.65,16.5,2010-12-01 14:11:00,74
536551,17346.0,2010-12-01 14:34:00,United Kingdom,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,1,0.95,0.95,2010-12-01 14:34:00,75
536556,17643.0,2010-12-01 14:38:00,United Kingdom,22599,CHRISTMAS MUSICAL ZINC STAR,12,0.85,10.2,2010-12-01 14:38:00,76
536557,17841.0,2010-12-01 14:41:00,United Kingdom,21495,SKULLS AND CROSSBONES WRAP,25,0.42,10.5,2010-12-01 14:41:00,77
536559,17873.0,2010-12-01 14:54:00,United Kingdom,84884A,ANT WHITE WIRE HEART SPIRAL,10,3.95,39.5,2010-12-01 14:54:00,78
536560,13093.0,2010-12-01 15:00:00,United Kingdom,79321,CHILLI LIGHTS,48,3.82,183.35999999999999,2010-12-01 15:00:00,79
536561,12921.0,2010-12-01 15:06:00,United Kingdom,22318,FIVE HEART HANGING DECORATION,6,2.95,17.700000000000003,2010-12-01 15:06:00,80
536562,13468.0,2010-12-01 15:08:00,United Kingdom,21777,RECIPE BOX WITH METAL HEART,2,7.95,15.9,2010-12-01 15:08:00,81
536563,17760.0,2010-12-01 15:08:00,United Kingdom,85199S,SMALL HANGING IVORY/RED WOOD BIRD,72,0.42,30.24,2010-12-01 15:08:00,81
536564,13468.0,2010-12-01 15:08:00,United Kingdom,37446,MINI CAKE STAND WITH HANGING CAKES,8,1.45,11.6,2010-12-01 15:08:00,81
536566,16928.0,2010-12-01 15:21:00,United Kingdom,21668,RED STRIPE CERAMIC DRAWER KNOB,6,1.25,7.5,2010-12-01 15:21:00,82
536567,16048.0,2010-12-01 15:27:00,United Kingdom,22867,HAND WARMER BIRD DESIGN,24,2.1,50.400000000000006,2010-12-01 15:27:00,83
536568,16048.0,2010-12-01 15:28:00,United Kingdom,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,0.42,5.04,2010-12-01 15:28:00,84
536569,16274.0,2010-12-01 15:35:00,United Kingdom,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,8.5,8.5,2010-12-01 15:35:00,85
536570,14496.0,2010-12-01 15:35:00,United Kingdom,84836,ZINC METAL HEART DECORATION,12,1.25,15.0,2010-12-01 15:35:00,85
536571,14696.0,2010-12-01 15:37:00,United Kingdom,85032D,YULETIDE IMAGES GIFT WRAP SET,6,2.1,12.600000000000001,2010-12-01 15:37:00,86
536572,16539.0,2010-12-01 15:40:00,United Kingdom,22589,CARDHOLDER GINGHAM STAR,6,2.55,15.299999999999999,2010-12-01 15:40:00,87
536573,17025.0,2010-12-01 15:45:00,United Kingdom,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,0.65,10.4,2010-12-01 15:45:00,88
536574,17025.0,2010-12-01 15:46:00,United Kingdom,21756,BATH BUILDING BLOCK WORD,3,5.95,17.85,2010-12-01 15:46:00,89
536575,13777.0,2010-12-01 16:01:00,United Kingdom,21864,UNION JACK FLAG PASSPORT COVER ,72,1.69,121.67999999999999,2010-12-01 16:01:00,90
536576,13777.0,2010-12-01 16:11:00,United Kingdom,22041,"RECORD FRAME 7"" SINGLE SIZE ",144,2.1,302.40000000000003,2010-12-01 16:11:00,91
536577,13777.0,2010-12-01 16:13:00,United Kingdom,20725,LUNCH BAG RED RETROSPOT,60,1.65,99.0,2010-12-01 16:13:00,92
536578,17690.0,2010-12-01 16:15:00,United Kingdom,22837,HOT WATER BOTTLE BABUSHKA ,12,4.25,51.0,2010-12-01 16:15:00,93
536579,13777.0,2010-12-01 16:16:00,United Kingdom,21232,STRAWBERRY CERAMIC TRINKET BOX,216,1.25,270.0,2010-12-01 16:16:00,94
536580,17690.0,2010-12-01 16:17:00,United Kingdom,22966,GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010-12-01 16:17:00,95
536581,13777.0,2010-12-01 16:19:00,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,200,1.65,330.0,2010-12-01 16:19:00,96
536582,12947.0,2010-12-01 16:21:00,United Kingdom,21668,RED STRIPE CERAMIC DRAWER KNOB,12,1.25,15.0,2010-12-01 16:21:00,97
536583,13777.0,2010-12-01 16:21:00,United Kingdom,21156,RETROSPOT CHILDRENS APRON,120,1.95,234.0,2010-12-01 16:21:00,97
536584,13777.0,2010-12-01 16:22:00,United Kingdom,84029E,RED WOOLLY HOTTIE WHITE HEART.,384,3.39,1301.76,2010-12-01 16:22:00,98
536585,17460.0,2010-12-01 16:24:00,United Kingdom,37449,CERAMIC CAKE STAND + HANGING CAKES,2,9.95,19.9,2010-12-01 16:24:00,99
536586,18229.0,2010-12-01 16:25:00,United Kingdom,22846,BREAD BIN DINER STYLE RED ,8,14.95,119.6,2010-12-01 16:25:00,100
536587,14142.0,2010-12-01 16:33:00,United Kingdom,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,1.49,17.88,2010-12-01 16:33:00,101
536588,17069.0,2010-12-01 16:49:00,United Kingdom,22960,JAM MAKING SET WITH JARS,6,4.25,25.5,2010-12-01 16:49:00,102
536590,13065.0,2010-12-01 16:52:00,United Kingdom,22969,HOMEMADE JAM SCENTED CANDLES,12,1.45,17.4,2010-12-01 16:52:00,103
536591,14606.0,2010-12-01 16:57:00,United Kingdom,21427,SKULLS STORAGE BOX SMALL,1,2.1,2.1,2010-12-01 16:57:00,104
536593,16835.0,2010-12-01 17:15:00,United Kingdom,21524,DOORMAT SPOTTY HOME SWEET HOME,2,7.95,15.9,2010-12-01 17:15:00,105
536594,15235.0,2010-12-01 17:22:00,United Kingdom,21733,RED HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-01 17:22:00,106
536595,13576.0,2010-12-01 17:24:00,United Kingdom,21877,HOME SWEET HOME MUG,1,1.25,1.25,2010-12-01 17:24:00,107
536597,18011.0,2010-12-01 17:35:00,United Kingdom,22952,60 CAKE CASES VINTAGE CHRISTMAS,4,0.55,2.2,2010-12-01 17:35:00,108
536598,13090.0,2010-12-02 07:48:00,United Kingdom,21421,PORCELAIN ROSE LARGE ,12,1.25,15.0,2010-12-02 07:48:00,109
536599,15694.0,2010-12-02 07:49:00,United Kingdom,22968,ROSE COTTAGE KEEPSAKE BOX ,8,8.5,68.0,2010-12-02 07:49:00,110
536600,17850.0,2010-12-02 08:32:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-02 08:32:00,111
536601,17850.0,2010-12-02 08:33:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-02 08:33:00,112
536602,17850.0,2010-12-02 08:34:00,United Kingdom,37370,RETRO COFFEE MUGS ASSORTED,6,1.06,6.36,2010-12-02 08:34:00,113
536603,17850.0,2010-12-02 08:40:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-02 08:40:00,114
536604,14741.0,2010-12-02 08:43:00,United Kingdom,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,0.85,10.2,2010-12-02 08:43:00,115
536605,13715.0,2010-12-02 08:52:00,United Kingdom,21364,PEACE SMALL WOOD LETTERS,2,6.75,13.5,2010-12-02 08:52:00,116
536607,17732.0,2010-12-02 09:29:00,United Kingdom,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,9.95,19.9,2010-12-02 09:29:00,117
536608,12855.0,2010-12-02 09:37:00,United Kingdom,22863,SOAP DISH BROCANTE,6,2.95,17.700000000000003,2010-12-02 09:37:00,118
536609,17850.0,2010-12-02 09:41:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-02 09:41:00,119
536610,17850.0,2010-12-02 09:42:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-02 09:42:00,120
536611,15752.0,2010-12-02 09:43:00,United Kingdom,22865,HAND WARMER OWL DESIGN,12,1.85,22.200000000000003,2010-12-02 09:43:00,121
536612,17850.0,2010-12-02 09:44:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-02 09:44:00,122
536613,17855.0,2010-12-02 09:44:00,United Kingdom,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2.1,12.600000000000001,2010-12-02 09:44:00,122
536614,17850.0,2010-12-02 09:44:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-02 09:44:00,122
536615,14047.0,2010-12-02 10:09:00,United Kingdom,22367,CHILDRENS APRON SPACEBOY DESIGN,8,1.95,15.6,2010-12-02 10:09:00,123
536616,17925.0,2010-12-02 10:10:00,United Kingdom,21137,BLACK RECORD COVER FRAME,72,3.39,244.08,2010-12-02 10:10:00,124
536617,13941.0,2010-12-02 10:17:00,United Kingdom,21356,TOAST ITS - FAIRY FLOWER,12,1.25,15.0,2010-12-02 10:17:00,125
536618,17017.0,2010-12-02 10:17:00,United Kingdom,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,0.65,15.600000000000001,2010-12-02 10:17:00,125
536619,17017.0,2010-12-02 10:18:00,United Kingdom,22960,JAM MAKING SET WITH JARS,12,4.25,51.0,2010-12-02 10:18:00,126
536620,14135.0,2010-12-02 10:27:00,United Kingdom,22965,3 TRADITIONAL COOKIE CUTTERS  SET,6,2.1,12.600000000000001,2010-12-02 10:27:00,127
536621,13108.0,2010-12-02 10:35:00,United Kingdom,22549,PICTURE DOMINOES,24,1.45,34.8,2010-12-02 10:35:00,128
536623,15601.0,2010-12-02 10:39:00,United Kingdom,21355,TOAST ITS - I LOVE YOU ,24,1.25,30.0,2010-12-02 10:39:00,129
536624,13418.0,2010-12-02 10:45:00,United Kingdom,22676,FRENCH BLUE METAL DOOR SIGN 1,10,1.25,12.5,2010-12-02 10:45:00,130
536626,13418.0,2010-12-02 10:46:00,United Kingdom,22965,3 TRADITIONAL COOKIE CUTTERS  SET,6,2.1,12.600000000000001,2010-12-02 10:46:00,131
536627,15658.0,2010-12-02 10:53:00,United Kingdom,22927,GREEN GIANT GARDEN THERMOMETER,2,5.95,11.9,2010-12-02 10:53:00,132
536628,17850.0,2010-12-02 10:54:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-02 10:54:00,133
536629,17850.0,2010-12-02 10:55:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-02 10:55:00,134
536630,17850.0,2010-12-02 10:56:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-02 10:56:00,135
536631,17850.0,2010-12-02 10:58:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-02 10:58:00,136
536632,14388.0,2010-12-02 11:02:00,United Kingdom,21931,JUMBO STORAGE BAG SUKI,10,1.95,19.5,2010-12-02 11:02:00,137
536633,14901.0,2010-12-02 11:20:00,United Kingdom,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,0.55,13.200000000000001,2010-12-02 11:20:00,138
536634,18041.0,2010-12-02 11:21:00,United Kingdom,22457,NATURAL SLATE HEART CHALKBOARD ,4,2.95,11.8,2010-12-02 11:21:00,139
536635,15955.0,2010-12-02 11:22:00,United Kingdom,21429,RED GINGHAM ROSE JEWELLERY BOX,16,1.65,26.4,2010-12-02 11:22:00,140
536636,15070.0,2010-12-02 11:23:00,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,36,2.55,91.8,2010-12-02 11:23:00,141
536637,18041.0,2010-12-02 11:35:00,United Kingdom,22198,LARGE POPCORN HOLDER ,2,1.45,2.9,2010-12-02 11:35:00,142
536638,16244.0,2010-12-02 11:41:00,United Kingdom,20992,JAZZ HEARTS PURSE NOTEBOOK,12,0.85,10.2,2010-12-02 11:41:00,143
536639,15111.0,2010-12-02 11:45:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,12,1.85,22.200000000000003,2010-12-02 11:45:00,144
536641,12748.0,2010-12-02 11:46:00,United Kingdom,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,4.25,4.25,2010-12-02 11:46:00,145
536643,14390.0,2010-12-02 11:57:00,United Kingdom,85136A,YELLOW SHARK HELICOPTER,1,7.95,7.95,2010-12-02 11:57:00,146
536663,16546.0,2010-12-02 12:07:00,United Kingdom,22867,HAND WARMER BIRD DESIGN,24,2.1,50.400000000000006,2010-12-02 12:07:00,147
536667,15260.0,2010-12-02 12:09:00,United Kingdom,22601,CHRISTMAS RETROSPOT ANGEL WOOD,24,0.85,20.4,2010-12-02 12:09:00,148
536670,15260.0,2010-12-02 12:09:00,United Kingdom,22469,HEART OF WICKER SMALL,40,1.45,58.0,2010-12-02 12:09:00,148
536671,13305.0,2010-12-02 12:10:00,United Kingdom,85061W,WHITE JEWELLED HEART DECORATION,24,0.85,20.4,2010-12-02 12:10:00,149
536672,14491.0,2010-12-02 12:10:00,United Kingdom,22812,PACK 3 BOXES CHRISTMAS PANNETONE,24,1.95,46.8,2010-12-02 12:10:00,149
536673,14060.0,2010-12-02 12:11:00,United Kingdom,21014,SWISS CHALET TREE DECORATION ,60,0.85,51.0,2010-12-02 12:11:00,150
536674,15923.0,2010-12-02 12:16:00,United Kingdom,21034,REX CASH+CARRY JUMBO SHOPPER,5,0.95,4.75,2010-12-02 12:16:00,151
536676,16752.0,2010-12-02 12:18:00,United Kingdom,84846A,SCENTED CANDLE IN DIGITALIS TIN,6,2.1,12.600000000000001,2010-12-02 12:18:00,152
536681,17287.0,2010-12-02 12:22:00,United Kingdom,84406B,CREAM CUPID HEARTS COAT HANGER,1,2.75,2.75,2010-12-02 12:22:00,153
536685,17850.0,2010-12-02 12:23:00,United Kingdom,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,3.39,27.12,2010-12-02 12:23:00,154
536688,17850.0,2010-12-02 12:24:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-02 12:24:00,155
536690,17850.0,2010-12-02 12:25:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-02 12:25:00,156
536693,17850.0,2010-12-02 12:26:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-02 12:26:00,157
536698,15363.0,2010-12-02 12:28:00,United Kingdom,21731,RED TOADSTOOL LED NIGHT LIGHT,12,1.65,19.799999999999997,2010-12-02 12:28:00,158
536707,12915.0,2010-12-02 12:33:00,United Kingdom,37495,FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2010-12-02 12:33:00,159
